,gender,parental level of education,lunch,test preparation course,math score,reading score,writing score
410,male,0,standard,none,81,72,58
934,female,5,standard,none,70,64,65
116,female,2,free/reduced,none,49,61,63
765,male,1,standard,completed,64,53,49
416,male,2,free/reduced,none,79,65,59
708,male,2,free/reduced,completed,80,79,81
856,male,1,free/reduced,none,61,57,55
557,male,2,free/reduced,none,69,68,62
0,male,0,standard,completed,67,67,63
986,male,2,free/reduced,none,78,84,77
631,male,1,standard,none,58,67,58
289,male,0,standard,completed,69,63,59
121,female,4,standard,completed,78,87,89
944,female,3,standard,completed,57,72,73
844,female,3,free/reduced,none,66,75,74
590,male,3,free/reduced,none,81,78,75
875,female,1,free/reduced,none,50,59,54
162,female,4,standard,none,83,92,91
981,male,2,standard,none,64,48,48
417,female,1,standard,none,70,70,68
95,female,0,standard,completed,58,63,67
132,male,2,standard,none,65,63,57
500,female,0,free/reduced,none,53,64,63
840,male,3,free/reduced,none,54,48,45
367,male,1,standard,none,64,67,64
766,female,0,free/reduced,none,55,66,65
103,male,0,standard,none,66,67,67
65,female,1,free/reduced,completed,49,74,70
279,male,0,standard,completed,75,73,66
584,male,4,standard,none,100,84,88
738,female,0,standard,none,61,73,69
824,male,0,standard,completed,79,79,70
154,female,3,free/reduced,none,54,63,58
862,male,4,standard,completed,85,81,82
774,male,2,free/reduced,none,71,68,65
63,male,4,standard,completed,77,82,78
399,female,2,free/reduced,completed,53,70,69
484,male,2,free/reduced,completed,86,91,89
440,female,0,standard,completed,53,64,62
272,male,0,standard,completed,74,71,65
853,male,2,standard,completed,72,72,72
894,male,3,standard,none,86,77,78
179,male,0,standard,completed,89,87,86
182,female,4,standard,none,84,95,89
